id,type,question,option_a,option_b,option_c,option_d,option_e,correct_options,source,topic
Q2-0001,mc_single,A written description of your business as you see it today and as you foresee it in the next 5 years is a:,written agreement,brand identity,business plan,benchmark,,C,Exam 2 #1,Business
Q2-0002,mc_single,A key to teamwork is:,communication,determination,competition,ambition,,A,Exam 2 #2,Teamwork
Q2-0003,mc_single,Tips must be tracked and reported on your:,daily log,income tax return,monthly budget worksheet,individual retirement account,,B,Exam 2 #3,Taxes
Q2-0004,mc_single,The basic question or problem is the:,choice,statement,stem,key word,,C,Exam 2 #4,Test Taking
Q2-0005,mc_single,"During an interview, questions are permitted regarding:",medical conditions,date of birth,disabilities,drug or tobacco use,,D,Exam 2 #5,Career
Q2-0006,mc_single,A state that does not allow booth rental is:,Pennsylvania,New York,Vermont,South Dakota,,A,Exam 2 #6,Business Regulations
Q2-0007,mc_single,Reaching logical conclusions by employing logical reasoning is:,objective reasoning,relative reasoning,deductive reasoning,effective reasoning,,C,Exam 2 #7,Reasoning
Q2-0008,mc_single,The least expensive way of owning your own business is a:,independent local chain,spa,regional franchise shop,booth rental,,D,Exam 2 #8,Business Ownership
Q2-0009,mc_single,A reduction in the production of melanin pigments results in:,white hair,dark blond hair,light blond hair,gray hair,,D,Exam 2 #9,Hair Science
Q2-0010,mc_single,The type of lighting not suitable for judging existing haircolors is:,a well-lit room,strong natural light,incandescent,fluorescent,,D,Exam 2 #10,Haircolor
Q2-0011,mc_single,The first goal of every business is to:,upsell your clients,add more services,sell retail products,maintain current clients,,D,Exam 2 #11,Business
Q2-0012,mc_single,The words you should look for in true/false questions are:,related words,qualifying words,similar words,absolute words,,B,Exam 2 #12,Test Taking
Q2-0013,mc_single,You should follow up an interview with a:,request for a job offer,thank-you gift,thank-you note,request for a second interview,,C,Exam 2 #13,Career
Q2-0014,mc_single,White hair is the color of keratin without:,eumelanin,pheomelanin,base color,melanin,,D,Exam 2 #14,Hair Science
Q2-0015,mc_single,The process of coloring hair back to its natural color is:,retouching,a tint back,pre-softening,single-process haircoloring,,B,Exam 2 #15,Haircolor
Q2-0016,mc_single,"When the employer pays you solely through a percentage of the gross service sales you generate, you are being compensated as:",salary-plus-commission,hourly salary,straight salary,commission,,D,Exam 2 #16,Compensation
Q2-0017,mc_single,An example of a warm color is:,green,violet,blue,red,,D,Exam 2 #17,Haircolor
Q2-0018,mc_single,Lighteners that add temporary color as they lighten are called:,quick lighteners,neutral oil lighteners,color oil lighteners,powder lighteners,,D,Exam 2 #18,Haircolor
Q2-0019,mc_single,A Jheri® curl is also known as:,permanent waving,chemical waving,curl reformation,chemical hair relaxing,,C,Exam 2 #19,Chemical Services
Q2-0020,mc_single,Hair that has a raised cuticle layer that easily absorbs chemical solutions is:,resistant,coarse,dense,porous,,D,Exam 2 #20,Hair Science
Q2-0021,mc_single,Not paying back your loans is:,defaulting,forgiving,charging,borrowing,,A,Exam 2 #21,Finance
Q2-0022,mc_single,The warmth or coolness of a color is:,natural level,hue,intensity,tone,,D,Exam 2 #22,Haircolor
Q2-0023,mc_single,"To correct excessive porosity, you would use:",toners,fillers,solvents,removers,,B,Exam 2 #23,Haircolor
Q2-0024,mc_single,"The layer that provides strength, elasticity, and natural color to the hair is the:",cuticle,cortex,protein,medulla,,B,Exam 2 #24,Hair Science
Q2-0025,mc_single,The wrap that uses one paper folded in half over the ends of the hair is the:,bookend wrap,single flat wrap,double flat wrap,double-end wrap,,A,Exam 2 #25,Chemical Services
Q2-0026,mc_single,"When you are committed to consistently doing a good job for your clients, employer, and barbershop team you have:",integrity,a strong work ethic,good technical skills,motivation,,B,Exam 2 #26,Professionalism
Q2-0027,mc_single,A demipermanent color:,"creates fun, bold results that easily shampoo from the hair",acts as a filler in color correction,neutralizes yellow or other unwanted tones,adds subtle color results,,B,Exam 2 #27,Haircolor
Q2-0028,mc_single,Hair that may be more resistant to chemical processes is:,fine,porous,coarse,medium,,C,Exam 2 #28,Hair Science
Q2-0029,mc_single,"Rods used when a definite wave pattern, close to the head, is desired are:",circle tool rods,bender rods,straight rods,concave rods,,D,Exam 2 #29,Chemical Services
Q2-0030,mc_single,The main oxidizing agent used in haircoloring is:,hydrogen peroxide,metallic salts,aniline derivatives,bleach,,A,Exam 2 #30,Haircolor
Q2-0031,mc_single,"The three primary colors are red, blue, and:",white,gray,yellow,black,,C,Exam 2 #31,Haircolor
Q2-0032,mc_single,The rod that creates a consistently sized wave from one side of the hair parting to the other is the:,loop rod,straight rod,concave rod,bender rod,,B,Exam 2 #32,Chemical Services
Q2-0033,mc_single,The reducing agent in alkaline perms is:,glyceryl monothioglycolate,alkanolamines,ammonium thioglycolate,hydrogen peroxide,,C,Exam 2 #33,Chemical Services
Q2-0034,mc_single,The oldest and most commonly used chemical relaxer is:,lithium hydroxide,sodium hydroxide,thio,guanidine hydroxide,,B,Exam 2 #34,Relaxers
Q2-0035,mc_single,"Thick, coarse hair types are easier to cut with:",clippers,scissors,shears,razors,,A,Exam 2 #35,Haircutting
Q2-0036,mc_single,Another term for an activator is:,accelerator,generator,developer,lightener,,A,Exam 2 #36,Haircolor
Q2-0037,mc_single,Perm wraps begin with sectioning the hair into:,bands,contours,panels,patterns,,C,Exam 2 #37,Chemical Services
Q2-0038,mc_single,Thinning the hair to graduated lengths with the shears is:,carving,texturing,slicing,slithering,,D,Exam 2 #38,Haircutting
Q2-0039,mc_single,The part of the curl that is between the scalp and the first arc of the circle is the:,foundation,base,barrel,stem,,D,Exam 2 #39,Styling
Q2-0040,mc_single,The perm pattern that blends hair from one area to another is the:,bricklay,piggyback,basic,curvature,,A,Exam 2 #40,Chemical Services
Q2-0041,mc_single,One of the most important characteristics when choosing haircolor tint shades is:,texture,density,porosity,elasticity,,B,Exam 2 #41,Haircolor
Q2-0042,mc_single,"Once a graduated haircut is dry, you should:",comb the hair to natural fall,detangle the hair with the wide-tooth comb,detail the perimeter,texturize the interior,,C,Exam 2 #42,Haircutting
Q2-0043,mc_single,The best evidence of pleased and satisfied clients is/are:,personal referrals,social media marketing,increased advertising,a network fan page,,A,Exam 2 #43,Client Relations
Q2-0044,mc_single,The haircutting technique that blends short and long lengths along a perimeter design line or interior section is:,overdirection,notching,razor cutting,texturizing,,A,Exam 2 #44,Haircutting
Q2-0045,mc_single,One of the benefits of alkaline perms are:,strong curl patterns,"slower, but more controllable processing times",gentler treatments for delicate hair types,softer curl patterns,,A,Exam 2 #45,Chemical Services
Q2-0046,mc_single,"For coloring mustaches, you should never use:",pomades,liquid tints,aniline derivative tints,hair color crayons,,C,Exam 2 #46,Haircolor
Q2-0047,mc_single,Rods used for a spiral wrap are:,circle rods,loop rods,straight rods,concave rods,,C,Exam 2 #47,Chemical Services
